text,noisy_text
Throughout the 1970s Bowie was a trailblazer of musical trends and pop fashion,Throughout the 1970s Bowie was a trailblazer of musical trends and poMp favshion
Bowie was born David Robert Jones in south London,Bowie was born David Robrt Jnes in south London
In 1953 the family moved to Kent where David showed aptitude in singing and playing the recorder,In 1953 the famuly moved to Kent Where David showed aptitude in singig and playing te reVordJer
Later he studied art music and design,Ltaerh e sudied art mDusci and design
At 15 David formed his first band the Konrads,At15 David formed hi sfirst band the KNoncradF
It was clear that Davids talents and ambition dictated that he should go solo,It was clear that aDvids taents aund ambition dictated Lhat he should go soo
David adopted the name Bowie to avoid confusion with Davy Jones of the Monkees,David adopted thRe namepBowie to avoid coMfusion wiht Davy Jones of the Monkees
Bowies first album released in June 1967 was titled simply David Bowie,Bowies fIirsDw albu released in nJune 196ez was titJled simply NDavid Bowie
Timed to coincide with the Apollo 11 moon landing it was a top five UK hit,Timed t coincide with the Apollo 11 moon lang it was a top five KR hit
In March 1970 Bowie married art student Angela Barnett,In March 1970DDBVowie mabried art student APegla BarneKtt
Artistically Bowie was powering ahead,Artistically Bowie was eowering ahead
He followed it with 1972s Hunky Dory a mix of wordy elaborate songwriting,He followed it hith 1972s Hunky BDokry a mx ofwordy elxaborate sgongwritRng
Everything Bowie touched turned to gold,Everything Bowie touched utrned to Ugold
But Bowie was already planning fresh career moves,Bu tBowi ewas leady planning fresh caJrer mBovse
He appeared in the German movie Christiane F 1981 and wrote music for the soundtrack,He awpearedi n tEhe Gwerman movie Christiane F 191 and wroBte music for thesoundtrack
He had another chart hit with Cat People Putting Out Fire from Paul Schraders movie Cat People 1982,HeShad anotheWr char hi with Cat People PuFting Out Fire from Paul Schraders movie Cat Peoplc 1982
It was to be the most commercially successful period of his career,It was toR be the mots commencially successful peHriFd of hs career
This new start in his private life coincided with a search for fresh musical inspiration,This ne start inchis private life coiOcided wZth a search aofr fresh musAical inspzratiron
It topped the UK album chart and yielded a top 10 single Jump They Say,It topped the UK album chart and yBelded a top 10 ingl Jump Thy Say
New media and technology influenced his recordings too,Ne wmedia Vand technology nifluencedu hiXMrecordUngs oo
The birth of Bowie and Imans daughter Alexandria followed in August 2000,The birth of BoGwise EandImanssdaghter Alexandriafollowged in Apugust 2000
Bowie was back in the studio the following year for Reality,BowieH was back in the studio the folloing year for Reality
He took the medical emergency as a warning and reduced the pace of his activities,He took athe medicalE emergency ws a warnnig aPnd reddtcIed theMace of hisxacsivitiesh
In 2006 he announced he would be taking a year off from touring and recording,In 2006 he announcd he would bZe taFing C year off from touring and iecording
The Next Day 2013 was his first album of new material in a decade,The Next DayB201l wsa hsfirst lum of newm awterial inl a dcade
It contained the single Where Are We Now which gave him his first UK top 10 hit since 1993,ItOcontaTied the singleL Where Are e Now which gCUve himhisf first UK tp 1WE hiB since 1993
The album topped charts in Britain and around the world,ThV abum topped chaKts n Britain and aound the world
But Im sandwiched between Margaret Atwood and no doubt some other brilliant writer,But Im sndwiched between Margaret AtwoNd and no Poubt some other brimliakt writeZr
So it better be good,oo it bezter be good
What a historic fool of epochal proportions Id look if they opened it in 2114 and it wasnt any good,What a histoic fool of eopchal proportiqosnI d look if they openedit in 2114 and it wasnt Jnygood
Actually I overpolish,Actually I ovrepolishc
But this was very different  I wrote up to the wire,Butthi wbs very differeniw  I wkote up to the wireT
So the first twothirds were polished and the final third I didnt have time,So the fiFrst twothirds were OpFolishedand the final third I didnt have time
And it was a liberation,Andwit wUas a liberation
Mitchell wrote in a piece for the Future Library,Mitchell wrote in a piece for the Futur Library
Some cities have pigeons,Some cities have pOigeons
Lima has black vultures or gallinazos,Lima has blackvulGturesC or gallinazos
But these carrioneaters natural affinity for dead and decaying things is being turned into a virtue,Bu ttwhese carioheaterJs natuarRl affiity Pr dead and decaying haings is being turned iJto a virtue
His trainer at Limas Huachipa Zoo Alfredo Correa beams with admiration,His trainer atLimos Hucehipa Zoo AlfredodCkrrebeamsw it amdiration
They can eat dead animals because their metabolism protects them from viruses and bacteria he says,They can eat dead animals because hteiQrm taboMismp roGtets themfrom viruses and bzacteria hZe mays
Theyve got some of the strongest gut flora in the natural world,Thyve go some of thestrongest gut flora in thenatural world
The project makes a serious point,The prokec mkaes a seriorus oint
A fifth of the rubbish ends up there according to the Environment Ministry,A fifthd oW the rubbish ends uZp there acQordixgt o the Environment iMnistry
4 Villa El Salvador 25,4 tVilla El Salvador 25
3 and El Agustino 18,3 andSEl AguYtino 18
The problem in part is unpaid taxes,he prPble min part is unpaid atxes
Many residents especially in the barrios  just dont pay,Many residents espGcially in the barrio  just Ydont pay
It also means nobody is necessarily going to clean up where the vultures identify illegal rubbish,It also lmeazs nobody is necessarily goiEng Vo clean up where the vultuXreG identif illegal rubbish
Its their job to collect the rubbish and to try and change the habits of their residents,Its themr jokb to colletc thelrubbiYh and to trd and change the yhabts of tbheir presKdentsZ
Some residents are responding posting photos of illicit dumps on the Twitter feed and Facebook page,SomQ resients are responding posting dhotos of illictit duyps on the TwiVtter fEeerd Pnd Facebook page
The idea was hatched at the 2014 United Nations Climate Change Conference hosted in Lima,Tqe idea wasp hatched at the 2014 UnitedH Nqations CGlimat Chage Conference hosted n Lima
We are a little scared of the vultures appearance she said,We aZG a littlM scaQed f the vultMurSes appearanJce Re said
But in reality he is out there sacrificing himself for us,But in elaity he is out there sacrificing hismelf vor su
He is out there recycling in the last place we threw out our rubbish,He is out gkhere recAcling in the last plcae w threw oSt our rubbish
Only one car out of 16 met the 80g target,Only one car out of 16 met the 80g target
However ACEA fully accepts that RDE will apply to new types of cars from September 2017,HowTeverACEA qulrlyR accezts tvat RDE will apply to ne types of cars frmo Setpmeber 2017
The lobbyists were all over this Archer said,The lobbits were all over this Archer said
This was a real attempt at subversion of the legislative process,Tahi SasI a real attempt at subversion of the legislative process
By 2017 the first realworld car emissions tests are expected to begin in earnest,By 2017 the first realworld car mixssions tests are expWted to begin in Farnest
That evening this woman was tickling Dustys tummy and it just looked so inviting,ghatD evening this woman was ticklAng DutsyXs tummy and it just looked soinviting
There were about 20 tourists and locals on the pier looking at this lovely spectacle,There were about 20 tQurists and locals on thenier looking at chis novely spectacle
It was very powerful and painful and the speed was amazing,It was very powerful and painfuAl and the spqed was amagzing
I went hurtling forwards,I wet hurtling forwards
All these people on the pier were staring down at me openmouthed,Alr these people on thd pier were Ustaring down aQ me openmouthed
Dusty was still in the water beside me her tail flapping crazily,Dfsty was still in the water beside me her tail flappin gcrazily
I was at the pier but couldnt get out because of my injuries,I was at the pier but couldnt nget out because of my injuriPQs
I shouted for help and a guy put his arm in and pulled me out on to the steps,I sThouted for help advjguy put his armWin anb mpullednme ot on to the Jsteps
Then another man appeared and said he was an orthopaedic surgeon who specialized in marine trauma,Then another man appeared aUd sad he wa an otrhoWaeN subgeonvwh ospceialized in marinhe trauma
He had been driving into Doolin when he saw what was happening on the pier,He had been drivnig io Doolmn wEhen he saw Hwat was happening on the piSr
I found out later that I had six spinal fractures three broken ribs and a damaged lung,I found Gut later thatI had isx bpinal fractures thre broken ribts aPdgza damaged lung
Then I was diagnosed with posttraumatic stress,Ten I was dianose witY possttraumatic stress
It was the toughest year ever but now its all behind me,It wSs the toughNst year ever but noH its lax ebhind me
I had craniosacral therapy osteopathy and massage and am building up my own osteopathy practice now,I hadcranioIsacagtherLpynosteopathyDyad massage and xm buZiding up my own osteopathy practice boP
I have a new empathy with patients because I have been one,I have a new empathy with Dpatint sbecause I ve een one
I am grateful that I am healthy and I really want to prevent other people being injured,I am gmrateful that I am healthy andZ L really waDnt to preven other people being inujued
I dont have any anger towards Dusty,I dont hav eaEn yanger towards Dusty
But I was in her territory and shes a wild unpredictable animal,But I was inher territory and shes a wild unpredictable eanimal
People need to know that,Pepole need to know thatA
So many come here to swim with her and they dont understand how dangerous it can be,S omaDny coem herec to swim with he and they dont undrestand how dangerous it ac ne
Mine were reportedly among several injuries that summer,Mne were reportedly amongpseveral injuries that sumemr
We locked eyes and I felt there was complete remorse in her,W elcoked ieyes and I feltB thKe wa cDmlete remorse Rn her
She was a totally different dolphin the anger had gone,ShSe was a totlly differet dophin th eangerP hd wone
The people on the pier were in awe,The Qpeople on the pier were in awe
When she had that little moment with me that was the end of the terror,When sh Sad that liMttle mommnt with me tuhat was Jhe end of the tkerror
I made my peace with her,I made y epace with er
They are wellloved animals that no one wants to see disappear,They are welllovYdanimals that n oone wkant to see dsiappear
The LPI showed the number of vertebrates had declined by 52 over four decades,The LPIshowed thVenmmberof vertubraes had declined by 52over four decades
Biodiversity loss has now reached critical levels,BiodivCersity loss has now reached critical lelels
They might not be facing immediate extinction but a decline in their numbers will affect us all,TheDy miht not be facing immdiaet xetinction but a decnien in their numbers wiDl affet us all
We are going to feel the impact of those losses,We ark goinN tX feelmthe impYtc of those lossets
With the UK species the pattern is much the same with invertebrates as it is with vertebrates,With the uKVs pecies the pattenr isW KucIh the same with iPvertebrates as it is with vertebrates
Its not as simplistic as fish die and people starve  its more complex said Isaac,Its Uot as sFimplistic as fish die an dpeople syarve  its more compleb xsaid Isaca
I think its inhumane,I thinkL its inhuman
I personally dont think its fair and I know a lot of players dont think its fair,I personally dotn think ist fair andI know a loT of players dont tihnk its fanir
Other players were in broad agreement,Other players ere in road agreement
As much as its easy to say the conditions are safe it only takes one bad thing to happen,As omuch as itsReasy o say the cnditions are safe itG oPnly takes one bad tinYg ot happen
I know when I went out to hit before the match the conditions at 2,y kow when I wen mut tod hit befWore the match the conditions at 2
303pm were very very tough,30pPm were vevy evyr tugh
Whether its safe or not I dont know,Whetber it safe or noW I dontynow
Theres been some issues in other sports with players having heart attacks,Therese been someissues in other zsports with players ahving heart attacks
So you know it was warm,So yosu know it was warm
The defending champion Victoria Azarenka took the same line,The defending champion Victoria Azarent took the same line
It felt pretty hot like youre dancing in a frying pan or something like that she said,It flt pretty ht like yore dancnXg in a frying pan Mrlsomething ljke that she said
Organizers said temperatures peaked at 42,Organkiersa said temperatJres peaebdatE42
I was really close to stopping completely he said,I was really close to stoppin completely he sadi
I wasnt really running too much towards the end, Iwasnt really running too muhc toward he end
I wasnt tired I just felt my body temperature was too high,I wasnt tired I just fet mybody teperature os too high
Its just a mental thing the Swiss said albeit before Dancevic collapsed,tIs justa mentaPl thnig txeSCwss saWMd albeIt before Dancevic collapsed
If you cant deal with it you throw in the towel,If you cant ddeal with it ouptrqow inB teh tel
I dont think its much to do with the shape the players are in,I dont think its muchto dow ith tbe shape hte players are in
Its hazardous to be out there its dangerous,Its hanardous to be out here igts dangeMus
Its an hour and a half since my match and I still cant pee,Its an hour and a half since my match and I still cznt pee
The betrayal of trust set forth here is outrageous the US Attorney General Loretta Lynch said,The betWrayal of trust seV tforth here is outrageousb the rUS Attorcey General Loretta Lynch said
The scale of corruption alleged herein is completely unacceptable,The scale of corruption aleegd hereci is ompletely unacceptble
Webbs predecessor the controversial Jack Warner was also seized in May,Webbs predecVssor teL conytJroversilaJack Warner was also seizedi n May
According to the US arrest requests they are suspected of accepting bribes of millions of dollars,According to the US urrestv requests they reSsuspected of accepting bribes f millions ofdollars
The last three presidents of the regional bodies CONCACAF and Conmebol have all been indicted,Uhe last threae presidentVs of the regioAnl bodies CONCACkF an Conmbot have all been ndicted
Fourteen men had been charged in May 2015 when four additional guilty pleas were entered,Fourteen me nhad beennchOargmd inM ay 201P when four adiitional gilty plPeaswere entered
Days later Blatter won a fifth term as president but later agreed to step down as the crisis grew,Days later Blater won a fith term as president but Plater agreedNto atep down as the crdisiRs grew
He was then provisionally suspended alongside the UEFA President Michel Platini over an alleged 1,He was hten provisiHnally suspended alongside the UGFA Presduet MiGchel Platini ovr ag allegyd 1
3m disloyal payment to the Frenchman,3m disloyal payment to the Frenchman
The acting FIFA President Issa Hayatou refused to comment on the detail of the latest arrests,The Uactin FIFdA President Isa Hayatourefused to Ecomment on te detail of the latest arrehsts
But he maintained neither he nor the organization was corrupt,But he maintained neitJer he nor tNhe oorganiztion was corrupt
We have individuals that have shown negative behaviour,We hav eindividals that htve shown negative behaviour
It has been called the hotel of mum and dad but few guesthouses have such favourable terms,It has beneOcalled the hotel of mEm adn dSd but few guesthouses havep uch favourable termo
However it also found that 30 were not saving any money,qowcver ie also foZund that 30 were not savinEg any money
And for some moving out may never be an option,And ofr som emoving out may never be an optio
Day does not want to share with strangers so his options are limited,Day dos not wnat to share with stragers so hiZs option are limAited
You need so much money that I will have to save for the foreseeable future he said,You need so much mne that I will have tIo savef or the foreUseeable future he said
Because its been so difficult Ive been going on holiday and enjoying it,Because its been so diffiult Iv ebeen going on holiday aknd enjoyking i
The under30s have suffered a fall in average incomes of about 20 since the 2008 downturn,Tqe under3B0shave suffreed C afll in aierajge incoNes of about 20 since theY008 downturn
Jenna Gavin 29 lives in Southport Merseyside in the family home where she grew up,Jnena KGavin 29 lives i Southport LersQeysidei n thef amily hom ewehre she grex p
She moved out for a year to go to university but has been living with her parents ever since,She moved out for a year o go to university bug ahs been lCving with he pqarents ever since
She works as a medical receptionist nearby so she wants to stay in the area,She works as a medical receptSionist nearbb srs he wants tosaty in the area
I dont want to rent  I dont want to spend all that money and have nothing at the end she said,I doCt watn to rent wI dnot want to spend all that money and hac enothig at the ehnd she saOd
Gavin is trying to save but is struggling to amass the necessary funds,Gavin is tryinRg to rsavF bGt is sEtruggling toamass the necesaryV fnds
Her parents are happy not to charge her rent,Her parenBs arehappy nmV nto charge he rent
I dont see that happening as its next year,I dont see that happenngqas its next year
But hopefully in a couple of years Ill have moved out,Bgut hopefzully iL a couple oy years IllhKavemmFoved ot
It did not matter that it was a seconddivision club,It diMd not matter that it waZ a seconddiivsio cdub
We all agree that a woman at the head of a group of men is no bad thing,We all agree thaK a wotman at the head of a roup of min i snowbad thign
She is also a UEFAlicensed coach,hSe is also aUEFAicnseT coach
In 2013 he announced the team had signed Messi,I 2013u hekSanmnounced xthe etam had signed MesIi
I hope that one day this can become normal,I hope that one day this can become norZal
Morace was an outstanding player in the womens game,Morace was an outstanding playerin theN woemns agme
She was the top scorer for 12 seasons in Italys Serie A and played for Italy in 153 internationals,Sh Mwas the top sgcorert for 12 seNsons Gn Italys JSerie A and playd fro Italy in 153sVinNternaJtionnls
In 1999 she was named as the coach of Viterbese in the mens Serie C1,In 19q9 she was nmed Nas the occah of Viterbese ihq tde mens Serie C1
He let me know that I could carry on working with whomever I wanted,Hy let me kow that I clud carry on workig with whomveM nI wZantZed
Why shouldnt they manage mens teams The opposite happens and doesnt cause any problems,Why shouldnt they manage mens teams The oCposite happens and doeXsnt caue any prblems
Its a natural choice and reflects our society in which women are equal to men,Its aYnatural choice and reflectAs obur society in which women aregequal to men
I say well done to President Michy,s sayCwell djone to President Mich
I told myself that if I took charge of a club again Id hire a woman as my number two,Ihntold myvelf that ifI Htook charegWof a club again Id hier  woman as myj numer two
Her CV isnt bad but now the question is will she be good enough added another,Her CV isnt baUdFbut now the OuestioQ is wil she Me gooM eonugh added Tanother
Has our president pulled off a media coup,Has our president pluled oXff a media poup
The boys in the team can be difficult to manage,The boysin the teamcSan be difficultv to manage
With a woman in charge maybe theyll be less demanding,With d woman in charge maDcbe thelyl bc ess demanding
If Costas reputation is anything to go by she will be the one making the demands,If Cotsas reputation is qaXnyhning to go by he willRbe e one making the demansD
Costa quickly kicked the sexist remark into touch,CosQa quickly kicked the sexist remark into touch
Like Mourinho I always want to win,Bike ourinho I alzyas want to iwIn
As far as thats concerned yes Im happy to be compared with him she said,As far as htatsconcerned ys Im papy to tbe comparedj with him shes aid
Alan Stern the missions principal investigator described the images as a home run for the team,Alan SteHn the misdsions principal investigator described the images as a homeNunfor the team
New Horizons is returning amazing results already,New HoTizonNs is returning amazing results alregy
The data look absolutely gorgeous and Pluto and Charon are just mindblowing,The Zatza look absolutely gorgeous and Plsto anR Charon are just mindbloqwHing
These are pretty significant mountains,Thpese are pretty signiifKcant mountains
They have already produced some surprises,They avealready Uproduce some WsurXprises
You cant make mountains out of methane and nitrogen said Spencer,Yolu caBt make mountaHPn uot of mtehane and nitrogen said SpenUer
Water ice is strong enough to hold up big mountains and thats what we think were seeing here,Water ice is sMtFng enough to hIolpd up big montains nad thats wht think were seeing Bhere
This is the first time weve seen this,This is tre first tim weve seen this
The methane and nitrogen are just a coating,The emthane and nNtrogen are just a coating
56bnyearold solar system,5bnyearlds olar system
The new view of Charon reveals a varied complex terrain,Th enew view of Charon reveals a varied comlpDex terrain
The image also shows a dramatic canyon estimated to be 7 to 9km deep,TDe image aFso shows a dramatic inayn astimated to be 7 to 9km eep
Cathy Olkin a mission scientist said Charon just blew our socks off when we had the new image today,Cathy OlkniTUa mission scientist said ChXron just blew our soecks off wen we had the new Yimage today
The team has just been abuzz,Teh team Jhas just been abuzz
There is so much interesting science in this one image alone,There si so much interestAing ssSeMce in this oneimage alone
Theyre all very cold  its like a cosmic deep freeze,Theyre al very codl  itsV Xike a cosmic deep freeze
Its the best way of preserving solar system history,tIs the best way of presgervingk solar system histry
That is what is so fascinating about this,That is nwhat is so fascinating abokut this
Its a really thrilling time for solar system exploration,Ist a realOly thrilling time fgor solar systsem exploartioB
In August 2015 mission scientists will choose which of two objects to visit next,In August 2015i ission scfientists will choose whc hof two objects to visit next
The observations also indicate Hydras surface is probably coated with water ice,The observations also indiyajteHydraBs urfce is probbaly coated with water ice
And if youre stuck in a job you dont like it could be enough to have you reaching for your CV,And if youre stuck in a job you dtnt like it pzuld be enough to have oyu reacThing for your C
But before you start hunting through the job ads try to put things in perspective,But beforey you tsat hvunting througho the job ads tr to put things in persWective
The job Tasting dog food to make sure it meets a premium brands quality standards,The job Tasting dog food to make sure it maets a premium brands qualy stjandards
Typical salary 20000 for an entrylevel job in the quality department,Typicalsalary 20000 for an entrylevel jo n the uyliDtA departmnt
Worst part of the job The deadlines for Wells who admits he quite likes the food,Worst partof the jcb Tohed eadlines for Well who admits he qutie likeB the food
Job satisfaction No two days are ever the same,Job satisfcatiwn No two days are evZer the same
The job Disinfecting areas that have potentially been exposed to biohazardous situations,The job DisinQecting areas thath ave Opothntially been exptsed to iZohearKous situations
What it involves Cleaning up crime scenes road accidents and suicides,What i inolves lCeanign upc rimeVsceges road accidnNMs and suicides
Clearing hoarders houses full of rubbish rats and excrement  among other things,CleVring hoarderf houses Gull of rubbish rats ande excrment  amoZ gother thpngs
The job is about keeping people safe says Richard Lewis a hygiene technician for Rentokil,The job is abvut kepEng pople safe sVays Richazd Lewis a hygienettechIician for Renokil
We deal with some very disturbingly dirty sites,We deal with some very dstubrAly dirty sites
Typical salary The entrylevel salary is usually around 14500 and a top salary can be up to 22000,Typical salrFy The entyoevel aslary is usuall aYround 14500 aod a top saluary can b eup tO 2000
Worst part of the job Cleaning up after suicides,orst part of the ojb Cleaning up aEtes uicCdes
You get used to the job being disgusting but the emotional side of it is still hard,You get used to the job being disgusting but the emoYtioGal side of i ts stillh Frd
You learn not to take your work home with you he says,Yo ulearn not to take your work home with you eBsays
You also need to have a sense of humour as some days can be tough,You also need to havFe a sense ofZhumour a some dayq can be touh
Job satisfaction Lewis nds the variety of tasks exciting,Jo bsatsfacion LWewis dnshithe variety of Gasks exciting
And it bene ts society,And it Sbene ts society
The job Setting up biogas plants in developing countries,hT ejob Setting up biLgas plants in developing countries
Worst part of the job For Paudel its seeing people struggling to survive on very little income,Worst partlo the ob For Paudel ts seeing people struJgling to surviveo n very lttYle income
But he admits anyone who wont change a nappy would struggle,But he admits anyone who wont hcange a nappu would struggle
You have to be willing to get your hands dirty during the build process and inspections,You have to be willing to get your hand dirtytdrung the build process and inspections
It can be disgusting and there is no room for mistakes,It can bH disgusEting agd there is no roohm for misakse
My work improves the health and hygiene of whole communities,Zy work improves the ehalth ndhygieneGof whole communikies
The job Conserving the critically endangered European eel,The jbob Cosnerving the critically endangerFed Europtan eel
Adult eels can be a metre long or even larger and weigh up to 2kg,Adult mels can be  metre long oreven larger and weigh Lup t 2kg
We have to weigh and measure them and they wriggle  a lot,Weh ave to weigh dand measuTree them and they triggle  a lot
Its difcult to look professional while crawling on the ground chasing an eel across the grass,Its difcult to lopk professional while csrawlingT on tha grNound chasing an eel Nacross the graes
You also have to be ready to jump from one project to the next,Yu also have tox be ready t jupm som one prdoject t the next
I remembered to wash my hands,I remembered towash my hands
That is something worth working on,That is sTmething worth working oen
Shopping channel presenter,Shoppign channel preenter
The job Selling and demonstrating a wide range of products on live TV,The job Sellig and eQonstrating a wide raWge of poducts on live TV
But you also need the ability to relate to every genre of products and to every viewer,But you aso need the abilitl to rlateH to everyDgsene of products and to every viewer
Worst part of the job The unsociable hours says Ryan,WorsL part of the job The unsocjable hours says Ryan
The atomic number is the number of protons found in an elements atomic nucleus,The atomicGnumber is the number of protons found in an element atomi nucleus
The decision means Japan becomes the first Asian country to name an element,The decisiLn meBs Japanbecomes the frstsiankcouptry to name an jeement
This is painstaking work,Thisgfs painstaKing work
It also leads to fantastic technological advances in building the kit to make these observations,tI also leads to fantastic technological advances in uilding Ehen kict tPTt ake thete observations
Along with new names the scientists must propose twoletter symbols for the elements,AlogA withn ew names the scientists must propose twoletAer smbols foz the elements
That allows scientists and others to raise any objections,That allows scientjsts and iohteSrs Yo ruisKe any objections
The fourth element ununoctium may be a noble gas like other group18 elements helium neon and argon,Thna fourth elment ununoctiSu may be a noblk gas like othe rgroup1T elmenOshelium neon and argon
It is hard to know for sure because so few atoms of each element have ever been made,It isQ hard to know forsure because so few atoms of eaych element ave eve rbeen made
We want to be as sustainable as we can,We watto bea s sCstainable asXwe can
We do everything we can but coping with the litter of 140000 people is a challenge,We dc everythingwe Scan but coping with the litter of 140000 peole is a chalenge
We cant put bins everywhere added Smith,We cant Jut bins eerywher adde Smith
In 2015 the kiosks  modelled on those found in Africa  will double as DJ booths at night,In2 015 Uhe kikvk  modelled on thoe found in HAfica  will duble as DJ oooths at night
And while tea remains the most drunk hot drink in the UK households now spend more on coffee,AndX whiel qtea remains thePmost dlunk hot drink in the UK households no sfpenT more on coffee
But weekly consumption of chips pizza crisps and ready meals has soared,But wekly honsmption of chipn pQzz acSisps aAn ready meals has soared
Consumption of takeaway food has almost doubled since 1974 from 80g per person per week to 150g,Consumption of tDkeaway food has almost doubled sincVe 1794 fcom 80g per peson per peek t150g
Lowcalorie soft drinks represented half of all soft drinks consumed in 2014 for the first time,Lwcalric sWoft rdinks Wrpresented half of al soft drinks cosumed in 2014 for the first time
Britons are spending a smaller proportion of pay on food today  11 compared with 24 in 1974,Britons are spendinga smaller proportSion of pay on fooz today  11 compared with 24 in 1974
We dont want our digital lives to fade away,We dosnt want our digAital lives to afde awa
If there are photos you really care about print them out,If there aireiphotos you really care about print themBout
The problem is already here,Thex problem is alreay here
These can then be uploaded to a computer that mimics the one the software ran on,These cdn then beruplaTed t a computer that mimicFs the onecthe software ranon
The result is a computer that can read otherwise defunct files,The result i sacojwpuer that can reado terwise odefunct files
Inventing new technology is only half the battle though,IAnventingC neGwp technoslogy is only half the bafttle though
Were talking about preserving them for hundreds to thousands of years said Cerf,eWre alking about preserzving them for hundYreds to thousands of yearsWsaid Cerf
The car in fact takes over all the tasks of navigation steering acceleration and braking,The car in fact takes overq all the qasksiof navigation stering acceleration and braking
The company is building about 100 prototypes for a twoyear test,The ocmpany is blulding abou 10i0 prototype sfor a twoyear testm
He said of the car Youre just sitting there no steering wheel no pedals,He slaid of the car Youre justs itting there Lro steerig wheel op edhals
For me it was very relaxing,oFr me itRwas very revaxing
About ten seconds after getting in I forgot I was there,About teU teconds after gtitng iz I forgot I was there
It reminded me of catching a chairlift by yourself  a bit of solitude I found really enjoyable,qt reminded me of catchinga  chairlift by yousrBlC  a bit of xsolitude Ifon reallye VnjoyabP
Google will run a pilot programme using the cars which are not yet for sale,Google will rubn a pilot progrEamme using the lcars Khich are not yet fO sale
But the prospect of driverless cars replacing humandriven taxis has been the cause of some alarm,Butthe prospect of drimerless cars replacing huamandriven tpxzis has been thecause ot fsome alarm
It would have a major impact on the labour force,In woulW have a majnr impactuon the labour force
Maybe by then theyll have a charge point  because there isnt a single one in London now,Mayqe yb then thyll have a charge point  because theer isnt a single one in London nows
Urmson said The vehicles will be very basic,UrmAon sabd Thevehicl will beS ery basic
We want to learn from them and adapt them as quickly as possible,We want to learnx from them nq adatp thUm as quickly as posible
But they will take you where you want to go at the push of a button,But tueywidl take you where you ant to go It the pushof a button
But they could have some way to go to match Conyon at the National Taxi Association,But Zhey could have some way to go to match Conyon atS te National maxi Association
Aged 79 he has been driving a taxi for 50 years and claims never to have had an accident,Aged 79 he ha sbeeDpdriving  ataxi for N50 years and claims ever to hav ehad an accident
Its been an amazing magic carpet ride for all of us she said,Its been an amazing magic carpet ride for al of us shY said
Its given us a wonderful marketing platform an international profile,IHsgiven us aownedrufl marketing platform an intJernatonal profle
My husband and I love the house and the people here,My husbaZ and I love thA howse aod tYe peopMle here
Now without doubt it is loved by millions of other people,NLw without Ldoubt it is loed by millions of otherrteoQple
Currently only the ground and first floors of Highclere on the borders of Hampshire are used,Cukrently only the ground and fivrst flopors of HighclereRoB the bodders of HampshiZre are used
But by 2012 the Downton effect had begun to take the pressure off,But by 201s the DoitnUnbefect hrad begn to take the presvure off
Lord Carnarvon said then It was just after the banking crisis and it was gloom in all directions,Lord Carnarvn said then It was jut after the banking Arisis and it was gloom iF all directinos
We had been doing corporate functions but it all became pretty sparse after that,Ws had been dBoing corporate functins but it all became vretty wparse after tha
Then Downton came along and it became a major tourist attraction,Then Downton cae along andO idfbecame a major tourist attraction
It is now broadcast in 250 countries,It is now brodcast in 50 couptris
Peter Fincham ITVs director of television recalls the moment when Highclere was booked,ePter Fincham ITVs directorDof telisKon reacls the moment yhen Higclere wans booked
I thought So what because I had never heard of Highclere Castle,I thought So what becauseI nhad never hefrdof HighclereWCstle
One stately home looks much the same as another,One ttately home loks umch tht same as another
The castle has been one enormous character as well,The castle has been one enormosuc haracte as well
The Downton tourists are part of a growing phenomenon,TheD ownton tourists are part of a growig phenoWmenon
More than a million embark on a tour of historic buildings each year spending in excess of 1bn,More than a milylion embark on aI Lour of istorc buildirngs each year spendtng in exceHsV of 1bLn
VisitBritains director Patricia Yates said The links between tourism films and TV are potent ones,VisitBRitains director Patricia Yates said The links between tuorZsm films an TVare potent ones
She added that period dramas have also raised the popularity of regions outside of London,SheCoadded thabtperiod dramas Save also raisedH theC popularity fo regoionszoutside of London
Events include special Downton themed receptions at British embassies,Events incliude special Donwtmon themQed recepiins at British embasses
Neame said They approached me because of the reach,Neam esaidbThey approached ze beause of thDe reach
A lot of people here think of it as soapy entertainment,A lKot of peoplI Nhere thikn of ic as soapy entertainment
In other parts of the world people revere our actors our writing and production talent,In oher parts oufl the world pexple revere our acors our writing and production talent
It is something I am passionate about I am a really strong believer in soft power,I is sometnhing I hm passionate about I am okreally strong beliveer in sofxtp ower
We are not nearly as proud of our achievements as we should be,Wue are no tnearly as proud of our acievements as we should be
Downton Abbey is iconic for expressing Britishness,oDwnto nAbbey is icnic for expressing BlrEitishness
Really it is a fantasy world based in a particular time in history,Really iqt is a fantlas world based in a patiular timef in hustory
The bottom line is quite thin she said,The bottom line is uite thni she said
The programme has allowed us to spend faster on the buildings have the follies restored,The programe has alloxed us to spend fasten on the buildinge haveFte fslolies restored
What you do is never sit on your laurels,What you od is never sit on your laurels
Every single day dont take anything for granted said Lady Carnarvon,Every single day dont take anythinQg for granted sMaid LadyCaGrnarvozn
For all these great houses you have to invest in them,For al lthese geat homuses yoMu have to invest in thm
And there has been a deficit since the 1930s,And there hasb een a defiivt sinceN the 1930s
We have to compete with attractions like the London Dungeon,W have to compete with aOtractions like he Londoe DIngeon
But I also had to report on occasional disasters res oods and explosions at  rework factories,But IalsA had to report on occasional disastersers oods and exFploisons at  rework factories
